Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
Core i3,,512 GB,8,INTEGRATED,0,No,35.56,2073600,31990.0
Celeron Quad Core,2.8,128 GB,4,INTEGRATED,0,No,35.56,2073600,21990.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,37850.0
Athlon Dual Core,,NO_SSD,8,INTEGRATED,0,No,35.56,1049088,28500.0
Celeron Quad Core,2.8,256 GB,8,INTEGRATED,0,No,35.56,2073600,22990.0
Core i5,4.2,512 GB,8,INTEGRATED,0,No,39.62,2073600,47990.0
Core i3,4.1,256 GB,8,INTEGRATED,0,No,35.56,3110400,35990.0
Core i5,4.2,256 GB,8,INTEGRATED,0,No,35.56,2073600,54990.0
M1,,256 GB,8,INTEGRATED,0,No,33.78,4096000,79990.0
Ryzen 3 Dual Core,3.5,512 GB,8,INTEGRATED,0,No,39.62,2073600,34990.0
Celeron Quad Core,2.8,512 GB,8,INTEGRATED,0,No,39.62,2073600,26490.0
Core i3,,256 GB,8,INTEGRATED,0,No,35.56,2073600,29990.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600,38190.0
Core i3,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,41990.0
Core i5,4.5,512 GB,8,DEDICATED,4,No,39.62,2073600,60990.0
Core i3,,256 GB,8,INTEGRATED,0,No,35.56,2073600,29990.0
Ryzen 5 Hexa Core,4.0,1 TB,8,DEDICATED,4,No,39.62,2073600,65990.0
Ryzen 5 Hexa Core,4.3,512 GB,16,INTEGRATED,0,No,35.56,2073600,60490.0
Celeron Quad Core,2.8,256 GB,8,INTEGRATED,0,No,39.62,2073600,23990.0
Core i5,4.5,512 GB,8,INTEGRATED,0,No,35.56,3110400,45990.0
Core i3,,256 GB,8,INTEGRATED,0,No,38.1,2073600,33990.0
Core i3,3.4,256 GB,8,INTEGRATED,0,No,39.62,2073600,27990.0
Core i3,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,42490.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,38990.0
Ryzen 3 Hexa Core,3.8,512 GB,8,INTEGRATED,0,No,39.62,2073600,32990.0
Core i5,4.5,512 GB,16,INTEGRATED,0,No,35.56,5184000,69990.0
Ryzen 5 Hexa Core,4.0,512 GB,16,INTEGRATED,0,No,39.62,2073600,50490.0
Core i5,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600,58249.0
Ryzen 5 Hexa Core,4.3,512 GB,8,INTEGRATED,0,No,35.56,2073600,53990.0
Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,69990.0
