Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
10.0,4.0200000000000005,4.0,8.0,0.0,0.0,0.0,35.56,2073600.0,31990.0
4.0,2.8,5.0,4.0,0.0,0.0,0.0,35.56,2073600.0,21989.999999999996
10.0,4.1,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,37850.0
5.0,3.0,1.0,8.0,0.0,0.0,0.0,35.56,1049088.0,28499.999999999996
4.0,2.8,2.0,8.0,0.0,0.0,0.0,35.56,2073600.0,22990.0
16.0,4.2,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,47989.99999999999
10.0,4.1,2.0,8.0,0.0,0.0,0.0,35.56,3110400.0,35989.99999999999
16.0,4.2,2.0,8.0,0.0,0.0,0.0,35.56,2073600.0,54990.0
21.0,3.6399999999999997,2.0,8.0,0.0,0.0,0.0,33.78,4096000.0,79990.0
8.0,3.5,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,34989.99999999999
4.0,2.8,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,26490.0
10.0,3.6,2.0,8.0,0.0,0.0,0.0,35.56,2073600.0,29990.0
10.0,4.1,4.0,8.0,0.0,0.0,0.0,35.56,2073600.0,38190.0
10.0,4.4,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,41990.00000000001
16.0,4.5,4.0,8.0,1.0,4.0,0.0,39.62,2073600.0,60990.0
10.0,3.6,2.0,8.0,0.0,0.0,0.0,35.56,2073600.0,29990.0
14.0,4.0,5.999999999999999,8.0,1.0,4.0,0.0,39.62,2073600.0,65990.0
14.0,4.3,4.0,16.0,0.0,0.0,0.0,35.56,2073600.0,60490.0
4.0,2.8,2.0,8.0,0.0,0.0,0.0,39.62,2073600.0,23990.0
16.0,4.5,4.0,8.0,0.0,0.0,0.0,35.56,3110400.0,45990.00000000001
10.0,3.8999999999999995,2.0,8.0,0.0,0.0,0.0,38.1,2073600.0,33990.0
10.0,3.4,2.0,8.0,0.0,0.0,0.0,39.62,2073600.0,27990.0
10.0,4.4,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,42490.00000000001
10.0,4.1,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,38990.0
6.0,3.7999999999999994,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,32990.0
16.0,4.5,4.0,16.0,0.0,0.0,0.0,35.56,5184000.0,69990.0
14.0,4.0,4.0,16.0,0.0,0.0,0.0,39.62,2073600.0,50489.99999999999
16.0,4.4,4.0,16.0,0.0,0.0,0.0,39.62,2073600.0,58249.00000000001
14.0,4.3,4.0,8.0,0.0,0.0,0.0,35.56,2073600.0,53990.0
20.0,4.4,4.0,16.0,1.0,4.0,0.0,39.62,2073600.0,69990.0
16.0,3.6,4.0,8.0,0.0,0.0,0.0,35.56,2073600.0,37990.0
27.0,5.6,7.0,64.0,1.0,16.0,0.0,43.94,4096000.0,489990.0
23.0,4.64,4.0,16.0,0.0,0.0,0.0,35.56,2073600.0,48989.99999999999
10.0,4.4,4.0,8.0,0.0,0.0,0.0,35.56,2073600.0,39990.0
16.0,4.6,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,71990.0
16.0,4.5,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,53990.0
10.0,4.4,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,39990.0
16.0,4.4,4.0,16.0,0.0,0.0,0.0,35.56,2073600.0,67490.0
10.0,4.1,2.0,8.0,0.0,0.0,0.0,39.62,2073600.0,30990.0
4.0,2.8,2.0,8.0,0.0,0.0,0.0,39.62,2073600.0,23990.0
16.0,4.5,4.0,16.0,0.0,0.0,0.0,35.56,5184000.0,74990.0
23.0,4.64,4.0,16.0,0.0,0.0,0.0,35.56,2073600.0,48989.99999999999
14.0,4.0,4.0,16.0,0.0,0.0,0.0,39.62,2073600.0,58990.0
16.0,4.5,4.0,8.0,1.0,4.0,0.0,39.62,2073600.0,49989.99999999999
16.0,4.2,4.0,16.0,0.0,0.0,0.0,39.62,2073600.0,51989.99999999999
16.0,4.4,4.0,16.0,0.0,0.0,0.0,35.56,2073600.0,50989.99999999999
27.0,5.4,5.999999999999999,16.0,1.0,8.0,0.0,40.64,4096000.0,199990.00000000003
10.0,4.1,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,32990.0
10.0,4.1,2.0,8.0,0.0,0.0,0.0,39.62,2073600.0,30990.0
10.0,4.4,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,44990.00000000001
10.0,4.4,4.0,8.0,0.0,0.0,0.0,35.56,2073600.0,48989.99999999999
20.0,4.2,5.999999999999999,16.0,1.0,4.0,0.0,39.62,2073600.0,84990.0
16.0,4.6,5.999999999999999,16.0,0.0,0.0,1.0,35.56,2073600.0,82100.0
20.0,4.4,4.0,16.0,1.0,6.0,0.0,39.62,3686400.0,104989.99999999999
27.0,5.6,8.0,64.0,1.0,16.0,0.0,43.94,8294400.0,599990.0
10.0,3.4,2.0,8.0,0.0,0.0,0.0,35.56,2073600.0,35989.99999999999
20.0,4.4,4.0,16.0,1.0,4.0,0.0,39.62,2073600.0,59990.0
10.0,3.4,4.0,8.0,0.0,0.0,0.0,35.56,2073600.0,32990.0
16.0,4.5,4.0,8.0,0.0,0.0,0.0,35.56,3110400.0,45990.00000000001
20.0,4.7,5.999999999999999,16.0,1.0,4.0,0.0,39.62,2073600.0,84990.0
14.0,4.0,4.0,16.0,1.0,4.0,0.0,39.62,2073600.0,49989.99999999999
5.0,3.2,2.0,4.0,0.0,0.0,0.0,39.62,1049088.0,23999.0
14.0,4.260000000000001,4.0,16.0,0.0,0.0,1.0,35.56,2304000.0,63990.0
10.0,4.1,4.0,16.0,0.0,0.0,0.0,39.62,2073600.0,42990.00000000001
4.0,2.8,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,25990.0
10.0,4.1,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,38990.0
20.0,4.4,4.0,16.0,1.0,4.0,0.0,39.62,2073600.0,115990.0
10.0,4.4,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,37990.0
10.0,4.5,4.0,8.0,0.0,0.0,0.0,40.64,2304000.0,47989.99999999999
16.0,4.4,4.0,16.0,1.0,4.0,0.0,39.62,2073600.0,72990.0
23.0,4.6,4.0,16.0,1.0,4.0,0.0,39.62,2073600.0,69990.0
