product_id,product_link,product_description,product_image
COMGA5TUCZAV4HGH,https://www.flipkart.com/product/p/item?pid=COMGA5TUCZAV4HGH,ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS | X515EA-EJ328WS Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/q/e/z/-original-imagpxgqesgrthks.jpeg?q=70
COMGEFYGG4HXWVWY,https://www.flipkart.com/product/p/item?pid=COMGEFYGG4HXWVWY,HP 247 G8 Athlon Dual Core - (8 GB/1 TB HDD/Windows 11 Home) 247 G8 Notebook Notebook,https://rukminim1.flixcart.com/image/416/416/l0jwbrk0/computer/e/k/r/240-g8-laptop-hp-original-imagcbgcgnqwenzx.jpeg?q=70
COMGFHNGGWNDVGSY,https://www.flipkart.com/product/p/item?pid=COMGFHNGGWNDVGSY,ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/n/h/v/-original-imagq9hcmgg3etg8.jpeg?q=70
COMGZNSBWY8HA2V9,https://www.flipkart.com/product/p/item?pid=COMGZNSBWY8HA2V9,HP Victus Intel Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) 15-fa1066TX Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/0/3/6/15-fa1066tx-gaming-laptop-hp-original-imagp39hm3tg4ahv.jpeg?q=70
COMFXEKMGNHZYFH9,https://www.flipkart.com/product/p/item?pid=COMFXEKMGNHZYFH9,APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,https://rukminim1.flixcart.com/image/416/416/kp5sya80/screen-guard/tempered-glass/o/v/n/apple-macbook-air-m1-13-3-inch-lightwings-original-imag3gh5xftgbpg3.jpeg?q=70
COMGGR9SPXCF8RUU,https://www.flipkart.com/product/p/item?pid=COMGGR9SPXCF8RUU,Lenovo Slim 3 Chromebook Touch Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14IGL05 Chromebook,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/7/k/4/-original-imaggqgb6dbkyhbe.jpeg?q=70
COMGDMXVJJB2HGMY,https://www.flipkart.com/product/p/item?pid=COMGDMXVJJB2HGMY,Lenovo Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/z/b/z/-original-imagmmng8dppnn4v.jpeg?q=70
COMGH2NKYVZCVXAW,https://www.flipkart.com/product/p/item?pid=COMGH2NKYVZCVXAW,Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/i/j/k/-original-imagzzsh3afavghf.jpeg?q=70
COMGZ3SPV5HJS79B,https://www.flipkart.com/product/p/item?pid=COMGZ3SPV5HJS79B,Lenovo V15 Ryzen 3 Hexa Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/d/t/c/v15-g2-alc-laptop-lenovo-original-imaghq2ffspmtfuh.jpeg?q=70
COMGZ7YCAAFEHRYV,https://www.flipkart.com/product/p/item?pid=COMGZ7YCAAFEHRYV,Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL30 Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/b/l/n/xl30-thin-and-light-laptop-infinix-original-imagzmncmw5wukam.jpeg?q=70
COMGAGRYXAWSHSRM,https://www.flipkart.com/product/p/item?pid=COMGAGRYXAWSHSRM,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL6 Laptop,https://rukminim1.flixcart.com/image/416/416/ky90scw0/computer/k/7/k/ideapad-slim-82h801lgin-laptop-lenovo-original-imagagrpkzaxrcdc.jpeg?q=70
COMG4ZYCJZA8YNKX,https://www.flipkart.com/product/p/item?pid=COMG4ZYCJZA8YNKX,HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11a-na0004MU Chromebook,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/2/m/e/-original-imagkqwzw9cdvgj2.jpeg?q=70
COMGZ3SPX55WFP2V,https://www.flipkart.com/product/p/item?pid=COMGZ3SPX55WFP2V,Lenovo ThinkBook 15 Ryzen 3 Hexa Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) TB15 G3 ACL Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/f/8/q/-original-imagzfwfnze4gfxd.jpeg?q=70
COMG5YDPYEB7ZAKK,https://www.flipkart.com/product/p/item?pid=COMG5YDPYEB7ZAKK,realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70
COMG9VHHF6HVJPP9,https://www.flipkart.com/product/p/item?pid=COMG9VHHF6HVJPP9,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/n/i/u/-original-imagpa5fbvqzk2xn.jpeg?q=70
COMGGTT4VFWG3FFM,https://www.flipkart.com/product/p/item?pid=COMGGTT4VFWG3FFM,HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/f/g/c/-original-imagp7pfkztgtg93.jpeg?q=70
COMG9FSFBZCGXTRT,https://www.flipkart.com/product/p/item?pid=COMG9FSFBZCGXTRT,HP Chromebook (2023) Intel Core i5 11th Gen - (8 GB/256 GB SSD/Chrome OS) 14c-cc0010TU Chromebook,https://rukminim1.flixcart.com/image/416/416/kwv0djk0/computer/3/n/y/14c-cc0010tu-chromebook-hp-original-imag9g9mhckzhuqt.jpeg?q=70
