product_id,product_link,Processor_Name,Processor_Generation,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,Refresh_Rate,price
COMGPU47C7YK7AJ7,https://www.flipkart.com/product/p/item?pid=COMGPU47C7YK7AJ7,Core i3,11th Gen,,512 GB,8 GB,Intel Integrated UHD,,No,35.56 cm (14 inch),1920 x 1080 Pixels,60 Hz,"31,990"
COMGG3S9HPZAGCGN,https://www.flipkart.com/product/p/item?pid=COMGG3S9HPZAGCGN,Celeron Quad Core,,"Base Frequency 1.1 GHz, Max Turbo Frequency at 2.8 GHz",128 GB,4 GB,Intel Integrated UHD,,No,35.56 cm (14 inch),1920 x 1080 Pixels,,"21,990"
COMGA5TUCZAV4HGH,https://www.flipkart.com/product/p/item?pid=COMGA5TUCZAV4HGH,Core i3,11th Gen,3.0 GHz up to max turbo frequency at 4.1 GHz,512 GB,8 GB,Intel Integrated UHD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"37,850"
COMGEFYGG4HXWVWY,https://www.flipkart.com/product/p/item?pid=COMGEFYGG4HXWVWY,Athlon Dual Core,,,,8 GB,AMD Radeon,,No,35.56 cm (14 inch),?1366 x 768 pixel,,"28,500"
COMGG3S9DVFEZAFC,https://www.flipkart.com/product/p/item?pid=COMGG3S9DVFEZAFC,Celeron Quad Core,,"Base Frequency 1.1 GHz, Max Turbo Frequency at 2.8 GHz",256 GB,8 GB,Intel Integrated UHD,,No,35.56 cm (14 inch),1920 x 1080 Pixels,,"22,990"
COMGFHNGGWNDVGSY,https://www.flipkart.com/product/p/item?pid=COMGFHNGGWNDVGSY,Core i5,11th Gen,2.4 GHz upto max turbo frequency at 4.2 Ghz,512 GB,8 GB,Intel Integrated Iris Xe,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"47,990"
COMG5YDPYEB7ZAKK,https://www.flipkart.com/product/p/item?pid=COMG5YDPYEB7ZAKK,Core i3,11th Gen,3.0GHz with Turbo Boost Upto 4.1GHz,256 GB,8 GB,Intel Integrated UHD,,No,35.56 cm (14 inch),2160 x 1440 Pixel,,"35,990"
COMG9FSFBZCGXTRT,https://www.flipkart.com/product/p/item?pid=COMG9FSFBZCGXTRT,Core i5,11th Gen,"Base Frequency 2.40 GHz, Max Turbo Boost Frequency Upto 4.2 GHz",256 GB,8 GB,Intel Integrated Iris Xe,,No,35.56 cm (14 inch),1920 x 1080 Pixel,,"54,990"
COMFXEKMGNHZYFH9,https://www.flipkart.com/product/p/item?pid=COMFXEKMGNHZYFH9,M1,,,256 GB,8 GB,NA,,No,33.78 cm (13.3 inch),2560 x 1600 Pixel,,"79,990"
COMGZYRYCB3JVMJS,https://www.flipkart.com/product/p/item?pid=COMGZYRYCB3JVMJS,Ryzen 3 Dual Core,,2.60 GHz up to 3.50 GHz,512 GB,8 GB,AMD Radeon AMD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"34,990"
