product_id,product_link,Processor_Name,Processor_Generation,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,Refresh_Rate,price
COMGZMKF3UAXVYU9,https://www.flipkart.com/product/p/item?pid=COMGZMKF3UAXVYU9,Core i5,12th Gen,3.3 GHz upto max turbo frequency at 4.4 Ghz,512 GB,16 GB,NVIDIA GeForce RTX 3050,4 GB,No,40.64 cm (16 Inch),1920 x 1200 Pixel,120 Hz,"72,990"
COMGP24QHAAUK7JE,https://www.flipkart.com/product/p/item?pid=COMGP24QHAAUK7JE,Core i3,12th Gen,0.9 GHz upto max turbo frequency at 4.4 Ghz,512 GB,8 GB,Intel Integrated UHD,,No,90.32 cm (35.56 cm),1920 x 1080 Pixel,,"39,990"
COMGA5TUCZAV4HGH,https://www.flipkart.com/product/p/item?pid=COMGA5TUCZAV4HGH,Core i3,11th Gen,3.0 GHz up to max turbo frequency at 4.1 GHz,512 GB,8 GB,Intel Integrated UHD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"37,850"
COMGZ3SPV5HJS79B,https://www.flipkart.com/product/p/item?pid=COMGZ3SPV5HJS79B,Ryzen 3 Hexa Core,,2.6 GHz with Turbo Boost Upto 3.8 GHz,512 GB,8 GB,AMD Radeon AMD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"29,990"
COMGFHNGGWNDVGSY,https://www.flipkart.com/product/p/item?pid=COMGFHNGGWNDVGSY,Core i5,11th Gen,2.4 GHz upto max turbo frequency at 4.2 Ghz,512 GB,8 GB,Intel Integrated Iris Xe,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"42,990"
COMG9VHHG6Q3RRJX,https://www.flipkart.com/product/p/item?pid=COMG9VHHG6Q3RRJX,Core i3,11th Gen,1.7 GHz upto max turbo frequency at 4.1 Ghz,512 GB,8 GB,Intel Integrated UHD,,No,39.62 cm (15.6 inch),1920 x 1080 pixel,,"36,990"
COMG5YDPYEB7ZAKK,https://www.flipkart.com/product/p/item?pid=COMG5YDPYEB7ZAKK,Core i3,11th Gen,3.0GHz with Turbo Boost Upto 4.1GHz,256 GB,8 GB,Intel Integrated UHD,,No,35.56 cm (14 inch),2160 x 1440 Pixel,,"32,364"
COMFXEKMGNHZYFH9,https://www.flipkart.com/product/p/item?pid=COMFXEKMGNHZYFH9,M1,,,256 GB,8 GB,NA,,No,33.78 cm (13.3 inch),2560 x 1600 Pixel,,"77,990"
COMGGTT4VFWG3FFM,https://www.flipkart.com/product/p/item?pid=COMGGTT4VFWG3FFM,Core i3,11th Gen,"Base Frequency 1.7 GHz, Max Turbo Frequency at 4.1 GHz",512 GB,8 GB,Intel Integrated UHD,,No,35.56 cm (14 inch),1920 x 1080 Pixel,,"38,490"
COMGHPY3GWDBV42P,https://www.flipkart.com/product/p/item?pid=COMGHPY3GWDBV42P,Ryzen 5 Hexa Core,,,512 GB,16 GB,AMD Radeon Integrated AMD Radeon Graphics,,Yes,35.56 cm (14 inch),1920 x 1200 pixel,,"63,990"
COMGG3S9ZPRYMXS5,https://www.flipkart.com/product/p/item?pid=COMGG3S9ZPRYMXS5,Core i3,11th Gen,Up to 4.1 GHz,512 GB,8 GB,Intel Integrated UHD Graphics,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"38,990"
COMGKW2NSU4SPZSG,https://www.flipkart.com/product/p/item?pid=COMGKW2NSU4SPZSG,Core i3,12th Gen,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",512 GB,8 GB,Intel Integrated UHD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,,"41,990"
COMGGR9S3YGZUHDZ,https://www.flipkart.com/product/p/item?pid=COMGGR9S3YGZUHDZ,Core i3,12th Gen,4.4,512 GB,8 GB,Intel Integrated UHD Graphics,,No,100.63 cm (39.62 cm),1920 x 1080 Pixel,,"39,990"
COMGG63H9BFFUYVY,https://www.flipkart.com/product/p/item?pid=COMGG63H9BFFUYVY,Core i3,11th Gen,Up to 4.1 GHz,256 GB,8 GB,Intel Integrated UHD Graphics,,No,35.56 cm (14 inch),1920 x 1080 Pixel,,"38,000"
COMG49CZDAJFHBZG,https://www.flipkart.com/product/p/item?pid=COMG49CZDAJFHBZG,Celeron Dual Core,,1.1 GHz with Turbo Boost Upto 2.4 GHz,,4 GB,Intel Integrated HD 500,,Yes,35.56 cm (14 inch),1366 x 768 Pixels,,"15,990"
COMGEFYGG4HXWVWY,https://www.flipkart.com/product/p/item?pid=COMGEFYGG4HXWVWY,Athlon Dual Core,,,,8 GB,AMD Radeon,,No,35.56 cm (14 inch),?1366 x 768 pixel,,"28,500"
COMGBNFUTNYFZRJQ,https://www.flipkart.com/product/p/item?pid=COMGBNFUTNYFZRJQ,Core i3,11th Gen,4.1,512 GB,8 GB,Intel Integrated UHD Graphics,,No,39.62 cm (15.6 Inch),1920x1080 Pixels,,"39,999"
COMGF9Z7JYCFBKAP,https://www.flipkart.com/product/p/item?pid=COMGF9Z7JYCFBKAP,Core i5,10th Gen,"Base Frequency 2.4 GHz, Max Turbo Frequency at 4.1 GHz",512 GB,8 GB,NVIDIA GeForce GTX 1650,4 GB,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,144 Hz,"58,990"
COMGFM5BFZHDDB4R,https://www.flipkart.com/product/p/item?pid=COMGFM5BFZHDDB4R,Core i5,11th Gen,2.5 GHz upto max turbo frequency at 4.5 Ghz,512 GB,8 GB,NVIDIA GeForce GTX 1650,4 GB,No,100.63 cm (39.62 cm),1920 x 1080 Pixel,,"49,990"
