Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
Athlon Dual Core,,NO_SSD,8,INTEGRATED,0,No,35.56,1049088.0,28500.0
Core i5,4.5,512 GB,8,DEDICATED,4,No,39.62,2073600.0,51990.0
Celeron Dual Core,2.8,256 GB,8,INTEGRATED,0,No,39.62,1049088.0,26989.0
Core i5,4.5,512 GB,16,INTEGRATED,0,No,35.56,5184000.0,71990.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600.0,38990.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,37850.0
M1,,256 GB,8,INTEGRATED,0,No,33.78,4096000.0,79990.0
Core i5,4.2,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,44990.0
Core i5,4.4,256 GB,16,DEDICATED,4,No,39.62,2073600.0,64990.0
Ryzen 3 Hexa Core,3.8,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,33990.0
Core i5,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,58000.0
Ryzen 5 Hexa Core,4.0,1 TB,8,DEDICATED,4,No,39.62,2073600.0,65990.0
Core i5,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,55990.0
Ryzen 3 Dual Core,3.5,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,33990.0
Ryzen 5 Hexa Core,4.0,512 GB,8,DEDICATED,4,No,39.62,2073600.0,47990.0
Core i5,4.2,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,53990.0
Core i5,4.5,512 GB,16,INTEGRATED,0,No,35.56,5184000.0,69990.0
Core i3,4.1,256 GB,8,INTEGRATED,0,No,35.56,3110400.0,35990.0
Core i5,4.5,512 GB,8,DEDICATED,4,No,39.62,2073600.0,49990.0
Ryzen 5 Hexa Core,4.0,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,48990.0
Celeron Quad Core,2.8,256 GB,8,INTEGRATED,0,No,39.62,2073600.0,23490.0
Ryzen 7 Octa Core,4.4,512 GB,16,INTEGRATED,0,No,40.64,2304000.0,62990.0
Ryzen 7 Octa Core,4.2,512 GB,8,DEDICATED,4,No,43.94,2073600.0,67990.0
Core i3,4.1,256 GB,8,INTEGRATED,0,No,35.56,2073600.0,56426.0
Ryzen 5 Quad Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,37990.0
Ryzen 7 Octa Core,4.2,1 TB,16,DEDICATED,4,No,39.62,2073600.0,84990.0
Ryzen 5 Hexa Core,4.2,256 GB,8,DEDICATED,4,No,39.62,2073600.0,51990.0
Core i3,3.4,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,29990.0
Ryzen 5 Hexa Core,4.0,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,43975.0
Core i5,4.5,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,52990.0
Core i5,4.2,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,53190.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,38990.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,38990.0
Ryzen 5 Hexa Core,4.3,512 GB,16,INTEGRATED,0,No,35.56,2073600.0,57990.0
Core i3,3.8,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,33990.0
Core i5,4.4,512 GB,16,INTEGRATED,0,No,35.56,2073600.0,72999.0
Ryzen 5 Hexa Core,4.3,512 GB,8,INTEGRATED,0,No,35.56,2073600.0,53990.0
Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,4,Yes,39.62,2073600.0,74990.0
Core i5,4.5,512 GB,16,DEDICATED,4,No,39.62,2073600.0,54990.0
Ryzen 5 Hexa Core,4.0,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,47990.0
