product_id,product_link,product_description,product_image,Processor_Name,Processor_Generation,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,Refresh_Rate,price
COMGEFYGG4HXWVWY,https://www.flipkart.com/product/p/item?pid=COMGEFYGG4HXWVWY,HP 247 G8 Athlon Dual Core - (8 GB/1 TB HDD/Windows 11 Home) 247 G8 Notebook Notebook,https://rukminim1.flixcart.com/image/416/416/l0jwbrk0/computer/e/k/r/240-g8-laptop-hp-original-imagcbgcgnqwenzx.jpeg?q=70,Athlon Dual Core,,,,8 GB,AMD Radeon,,No,35.56 cm (14 inch),?1366 x 768 pixel,,"28,500"
COMGZ4PNFDZXHZ63,https://www.flipkart.com/product/p/item?pid=COMGZ4PNFDZXHZ63,MSI Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) GF63 Thin 11SC-1401IN Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70,Core i5,11th Gen,2.7Ghz upto 4.5 GHz,512 GB,8 GB,NVIDIA GeForce GTX 1650,4 GB,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"51,990"
COMGDMXVJJB2HGMY,https://www.flipkart.com/product/p/item?pid=COMGDMXVJJB2HGMY,Lenovo Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/z/b/z/-original-imagmmng8dppnn4v.jpeg?q=70,Celeron Dual Core,,2.8,256 GB,8 GB,Intel Integrated UHD Graphics 600,,No,39.62 cm (15.6 Inch),1366 x 768 Pixels,,"26,989"
COMGCG2GXGJGEYUW,https://www.flipkart.com/product/p/item?pid=COMGCG2GXGJGEYUW,ASUS Vivobook S14 OLED Intel EVO H-Series Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-KM502WS Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/i/h/z/-original-imagqdrxngpdcjzh.jpeg?q=70,Core i5,12th Gen,4.5,512 GB,16 GB,Intel Integrated Iris Xe Graphics,,No,35.56 cm (14 Inch),2880 x 1800 Pixels,,"71,990"
COMGGTT4VFWG3FFM,https://www.flipkart.com/product/p/item?pid=COMGGTT4VFWG3FFM,HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/f/g/c/-original-imagp7pfkztgtg93.jpeg?q=70,Core i3,11th Gen,"Base Frequency 1.7 GHz, Max Turbo Frequency at 4.1 GHz",512 GB,8 GB,Intel Integrated UHD,,No,35.56 cm (14 inch),1920 x 1080 Pixel,,"38,990"
COMGA5TUCZAV4HGH,https://www.flipkart.com/product/p/item?pid=COMGA5TUCZAV4HGH,ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS | X515EA-EJ328WS Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/q/e/z/-original-imagpxgqesgrthks.jpeg?q=70,Core i3,11th Gen,3.0 GHz up to max turbo frequency at 4.1 GHz,512 GB,8 GB,Intel Integrated UHD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"37,850"
COMFXEKMGNHZYFH9,https://www.flipkart.com/product/p/item?pid=COMFXEKMGNHZYFH9,APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,https://rukminim1.flixcart.com/image/416/416/kp5sya80/screen-guard/tempered-glass/o/v/n/apple-macbook-air-m1-13-3-inch-lightwings-original-imag3gh5xftgbpg3.jpeg?q=70,M1,,,256 GB,8 GB,NA,,No,33.78 cm (13.3 inch),2560 x 1600 Pixel,,"79,990"
COMGFHNGGWNDVGSY,https://www.flipkart.com/product/p/item?pid=COMGFHNGGWNDVGSY,ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/n/h/v/-original-imagq9hcmgg3etg8.jpeg?q=70,Core i5,11th Gen,2.4 GHz upto max turbo frequency at 4.2 Ghz,512 GB,8 GB,Intel Integrated Iris Xe,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"44,990"
COMGZ5F3BTZ7QEVD,https://www.flipkart.com/product/p/item?pid=COMGZ5F3BTZ7QEVD,MSI Core i5 12th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) Thin GF63 12UCX-269IN Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/1/v/r/-original-imagpyc3aurzafgn.jpeg?q=70,Core i5,12th Gen,3.3 GHz upto max turbo frequency at 4.4 Ghz,256 GB,16 GB,NVIDIA GeForce RTX 2050,4 GB,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"64,990"
COMGZ3SPX55WFP2V,https://www.flipkart.com/product/p/item?pid=COMGZ3SPX55WFP2V,Lenovo ThinkBook 15 Ryzen 3 Hexa Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) TB15 G3 ACL Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/f/8/q/-original-imagzfwfnze4gfxd.jpeg?q=70,Ryzen 3 Hexa Core,,2.6 GHz with Turbo Boost Upto 3.8 GHz,512 GB,8 GB,AMD Radeon AMD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"33,990"
