,Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
0,Core i5,4.4,512 GB,16,DEDICATED,4,No,40.64,2304000,72990.0
1,Core i3,4.4,512 GB,8,INTEGRATED,0,No,35.56,2073600,39990.0
2,Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,37850.0
3,Ryzen 3 Hexa Core,3.8,512 GB,8,INTEGRATED,0,No,39.62,2073600,29990.0
4,Core i5,4.2,512 GB,8,INTEGRATED,0,No,39.62,2073600,42990.0
5,Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,36990.0
6,Core i3,4.1,256 GB,8,INTEGRATED,0,No,35.56,3110400,32364.0
7,M1,,256 GB,8,INTEGRATED,0,No,33.78,4096000,77990.0
8,Core i3,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600,38490.0
9,Ryzen 5 Hexa Core,,512 GB,16,INTEGRATED,0,Yes,35.56,2304000,63990.0
10,Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,38990.0
11,Core i3,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,41990.0
12,Core i3,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,39990.0
13,Core i3,4.1,256 GB,8,INTEGRATED,0,No,35.56,2073600,38000.0
14,Celeron Dual Core,2.4,,4,INTEGRATED,0,Yes,35.56,1049088,15990.0
15,Athlon Dual Core,,,8,INTEGRATED,0,No,35.56,1049088,28500.0
16,Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,39999.0
17,Core i5,4.1,512 GB,8,DEDICATED,4,No,39.62,2073600,58990.0
18,Core i5,4.5,512 GB,8,DEDICATED,4,No,39.62,2073600,49990.0
19,Core i3,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600,33990.0
20,Ryzen 7 Octa Core,4.2,512 GB,8,DEDICATED,4,No,43.94,2073600,67990.0
21,Core i5,4.5,512 GB,8,INTEGRATED,0,No,39.62,2073600,52490.0
22,Core i5,4.4,512 GB,16,INTEGRATED,0,No,35.56,2073600,65990.0
24,Core i3,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,44990.0
25,Ryzen 5 Hexa Core,4.0,512 GB,8,INTEGRATED,0,No,39.62,2073600,43990.0
26,Ryzen 5 Hexa Core,4.2,256 GB,8,DEDICATED,4,No,39.62,2073600,51990.0
28,Ryzen 5 Hexa Core,4.3,512 GB,16,INTEGRATED,0,No,35.56,2073600,56490.0
29,Core i3,,256 GB,8,INTEGRATED,0,No,38.1,2073600,33990.0
30,Core i5,4.4,512 GB,16,DEDICATED,4,No,40.64,2304000,72990.0
31,Celeron Quad Core,2.8,256 GB,8,INTEGRATED,0,No,39.62,2073600,23490.0
32,M1,,256 GB,8,INTEGRATED,0,No,33.78,4096000,77990.0
33,Core i7,4.6,512 GB,16,DEDICATED,4,No,39.62,2073600,79990.0
34,Celeron Dual Core,2.8,256 GB,4,INTEGRATED,0,No,35.56,1049088,25990.0
35,Ryzen 7 Octa Core,4.2,512 GB,16,DEDICATED,4,No,39.62,2073600,73990.0
36,Ryzen 5 Hexa Core,4.0,512 GB,8,INTEGRATED,0,No,39.62,2073600,43975.0
38,Ryzen 7 Octa Core,4.4,512 GB,8,DEDICATED,4,No,39.62,2073600,55990.0
39,Core i5,4.5,512 GB,16,INTEGRATED,0,No,35.56,5184000,68990.0
40,Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,34990.0
41,Core i5,4.5,512 GB,8,INTEGRATED,0,No,39.62,2073600,39490.0
42,Ryzen 5 Hexa Core,4.3,512 GB,8,INTEGRATED,0,No,35.56,2073600,53990.0
43,Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,40990.0
44,Core i3,4.1,512 GB,8,INTEGRATED,0,No,38.0,2073600,38799.0
45,Ryzen 7 Octa Core,4.2,512 GB,16,DEDICATED,4,No,39.62,2073600,59990.0
46,Core i3,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,37990.0
49,Ryzen 5 Hexa Core,4.0,512 GB,16,INTEGRATED,0,No,39.62,2073600,48990.0
50,Ryzen 3 Quad Core,3.8,512 GB,8,INTEGRATED,0,No,35.56,2073600,38990.0
51,Ryzen 5 Hexa Core,4.0,512 GB,8,INTEGRATED,0,No,35.56,2073600,45490.0
52,Core i3,,512 GB,8,INTEGRATED,0,No,39.62,1049088,36990.0
53,Core i5,4.2,512 GB,16,INTEGRATED,0,No,39.62,2073600,58890.0
54,Core i5,4.5,512 GB,8,INTEGRATED,0,No,35.56,2304000,56990.0
57,Core i3,3.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,29990.0
58,Core i5,4.4,512 GB,8,DEDICATED,4,No,39.62,2073600,62890.0
59,Core i5,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,72990.0
60,Ryzen 7 Octa Core,4.2,1 TB,16,DEDICATED,4,No,39.62,2073600,84990.0
61,Core i5,4.2,512 GB,16,INTEGRATED,0,No,39.62,2073600,51990.0
63,Core i7,4.7,1 TB,16,INTEGRATED,0,No,35.56,2073600,83990.0
64,Ryzen 7 Octa Core,4.4,512 GB,8,DEDICATED,8,No,39.62,2073600,72990.0
66,Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,40990.0
67,Core i3,4.5,512 GB,8,INTEGRATED,0,No,40.64,2304000,47990.0
69,Celeron Quad Core,2.8,256 GB,8,INTEGRATED,0,No,39.62,2073600,23490.0
70,Core i3,4.1,512 GB,16,INTEGRATED,0,No,39.62,2073600,38990.0
71,Core i9,5.4,1 TB,32,DEDICATED,12,No,40.64,4096000,249990.0
72,Snapdragon 7c Gen 2,2.5,,4,INTEGRATED,0,No,35.56,2073600,27990.0
73,Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,80990.0
74,Core i7,4.7,512 GB,16,DEDICATED,6,No,40.64,2304000,104135.0
75,Core i7,5.0,1 TB,16,DEDICATED,8,No,40.64,4096000,149990.0
76,Ryzen 5 Hexa Core,4.3,512 GB,16,INTEGRATED,0,No,39.62,2073600,58990.0
77,Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,6,No,39.62,3686400,99990.0
